iter	Passed	Remaining
0	84	84337
1	161	80655
2	232	77302
3	307	76653
4	376	74989
5	444	73674
6	524	74360
7	593	73634
8	669	73708
9	739	73209
10	823	74084
11	899	74024
12	977	74180
13	1055	74363
14	1130	74256
15	1204	74077
16	1282	74157
17	1351	73746
18	1426	73640
19	1508	73920
20	1577	73545
21	1655	73595
22	1736	73755
23	1811	73655
24	1884	73480
25	1973	73930
26	2048	73817
27	2122	73691
28	2201	73704
29	2271	73457
30	2348	73418
31	2435	73684
32	2503	73371
33	2571	73067
34	2648	73028
35	2721	72863
36	2795	72763
37	2867	72584
38	2949	72681
39	3023	72567
40	3102	72563
41	3168	72268
42	3238	72069
43	3317	72090
44	3390	71962
45	3468	71932
46	3546	71917
47	3615	71707
48	3685	71533
49	3753	71317
50	3828	71240
51	3903	71160
52	3987	71248
53	4061	71150
54	4135	71048
55	4212	71005
56	4287	70932
57	4364	70883
58	4432	70689
59	4506	70604
60	4572	70380
61	4650	70361
62	4716	70152
63	4793	70098
64	4857	69866
65	4931	69794
66	5005	69702
67	5076	69581
68	5144	69410
69	5220	69361
70	5292	69255
71	5370	69221
72	5445	69144
73	5523	69117
74	5595	69007
75	5669	68927
76	5747	68894
77	5811	68691
78	5886	68626
79	5974	68702
80	6047	68614
81	6115	68466
82	6194	68442
83	6264	68311
84	6321	68049
85	6390	67913
86	6466	67857
87	6534	67723
88	6606	67628
89	6683	67576
90	6750	67428
91	6819	67309
92	6905	67349
93	6981	67288
94	7054	67202
95	7138	67218
96	7212	67141
97	7281	67023
98	7353	66927
99	7430	66877
100	7499	66756
101	7578	66721
102	7655	66670
103	7736	66652
104	7815	66618
105	7880	66467
106	7963	66465
107	8043	66433
108	8117	66358
109	8195	66306
110	8277	66293
111	8343	66155
112	8416	66067
113	8495	66024
114	8571	65960
115	8647	65896
116	8725	65848
117	8805	65817
118	8879	65741
119	8964	65742
120	9029	65593
121	9102	65510
122	9181	65467
123	9246	65323
124	9326	65287
125	9407	65253
126	9482	65181
127	9558	65115
128	9637	65069
129	9712	65000
130	9784	64907
131	9861	64849
132	9945	64835
133	10020	64758
134	10105	64747
135	10182	64687
136	10253	64589
137	10333	64549
138	10407	64464
139	10479	64374
140	10564	64363
141	10643	64310
142	10719	64239
143	10803	64221
144	10881	64165
145	10958	64099
146	11037	64049
147	11111	63969
148	11178	63842
149	11263	63826
150	11336	63740
151	11411	63663
152	11484	63580
153	11559	63502
154	11634	63424
155	11713	63371
156	11794	63331
157	11863	63220
158	11943	63172
159	12018	63096
160	12092	63015
161	12171	62959
162	12246	62885
163	12321	62807
164	12401	62760
165	12477	62690
166	12553	62616
167	12622	62513
168	12696	62430
169	12771	62352
170	12886	62471
171	12959	62387
172	13042	62347
173	13123	62299
174	13198	62223
175	13267	62116
176	13347	62061
177	13420	61975
178	13498	61909
179	13578	61857
180	13651	61772
181	13725	61689
182	13802	61620
183	13884	61573
184	13951	61462
185	14024	61377
186	14105	61326
187	14179	61244
188	14260	61191
189	14333	61105
190	14402	61001
191	14483	60952
