ID,Is_Lead
CCMEWNKY,0.48316374
VVUKMUJT,0.976458
EAHDPXEJ,0.45161724
MPXK6TVE,0.17852977
HGDIBAKA,0.3960934
RBRSJUP3,0.11046066
JUIRE47M,0.061375294
WMF3DYE3,0.48316374
UH6ZDM3W,0.06283698
6GORGNYN,0.104602054
82GRNPFG,0.11182445
FDWZFSSC,0.11154798
AHUDO2T6,0.11182445
93RURE2J,0.46089458
VGVEYSEG,0.46261433
IEEUGXMY,0.06112289
9AHNH8ZX,0.5200694
YRHYUJFW,0.44884434
2RRNUFBV,0.4682007
E2Z98CR3,0.07835627
GU4RDP8S,0.12520821
LCUC2LAJ,0.11154798
FAMHAVN3,0.12205249
KZ5J2JGC,0.12520821
WQJ9SPT9,0.47402605
NOJ2KSCC,0.106943086
LCFYUVE9,0.4682007
GPXEUNND,0.12991112
QT6DF6EW,0.11058873
CRGXVSBF,0.059536316
7X2MC5GZ,0.10870773
ZWDXVKDF,0.11737106
CEAZEPY4,0.98102105
KERBCSGE,0.976458
7HTA4C6J,0.6248041
UENREGNV,0.12474455
CC4LYHEW,0.46261433
EON5DCWD,0.9893617
8RQ27JGU,0.4548573
A8GKBMBO,0.4606563
68EFFKBB,0.7639712
NEUII7AB,0.9813301
JUQ76NJV,0.4178797
FFM6DHEA,0.12701586
RQZGBGGN,0.4487075
CGGVBJKZ,0.97884095
JO9DV3NY,0.42167768
ZHHFH7H9,0.052323274
2MFKPCPS,0.11154798
EAPKN7G8,0.9785075
DOFSPEWD,0.11182445
4ENG9TKV,0.4487075
Y7EEZYYS,0.5576189
WSFUNE28,0.4487075
PU3J43GY,0.11154798
8CIAWHWZ,0.13281794
NVVVFQ9U,0.14788267
KWQAVZOE,0.48863214
GJVVWNKN,0.12167677
CN4YERMU,0.1295745
EAOF4EYO,0.10311318
5HPCBEQQ,0.1295745
4MAT9RSM,0.076815285
SBDGZSY9,0.11058873
G7D2BESM,0.11199269
NYWLDSFZ,0.50724465
DYKME2AY,0.46261433
RHTCABWR,0.5489233
UU4ECFQ5,0.07781418
IHQY3US8,0.1295745
JVJZVKUJ,0.11088895
2ZDDJYHE,0.1295745
DR5F2HVS,0.11058873
ME3XYUC5,0.46261433
22IQJE4I,0.109664775
BNE8WOYV,0.11182445
UMQWVVHH,0.11154798
DKEMLQCU,0.095906205
VVPNRFRF,0.2329801
6UZE4NSH,0.10716037
4EQAO8W3,0.18303585
DV5EXZEZ,0.38718423
GAB49KQU,0.10717029
KCBVOKZ8,0.10870773
WTOPV47E,0.11154798
9DLYZCUW,0.0578727
JCYRCTNE,0.5200694
TVIX5INS,0.11154798
FR38HJFG,0.11988285
HWED8UBF,0.44884434
2UC6R5XE,0.1295745
FXPCJ7GE,0.13173255
KZCHX6LW,0.07694876
YODUTYZU,0.07160134
CUNTRPMN,0.11988285
DXYC8WIG,0.14568116
6ZRSCJ6J,0.46916687
YSNU9M3K,0.1174479
C5CGJVQZ,0.10870773
VMYWFYEL,0.19747978
N3UXDVTF,0.5099933
LH8H3PTS,0.99018234
WBBAFNBP,0.989319
MG2YF6UW,0.061375294
6LM5QANA,0.24271767
EKN8UCSW,0.12520821
SKA2MXXX,0.4487075
IDFGBLIU,0.4682007
K9OYK83E,0.9763204
RB65FVXC,0.1073531
MS2BW42V,0.10870773
7DQEOUAG,0.12774865
YMS7QOAS,0.07954142
DJ43FJEN,0.1313309
DYBXGBFU,0.12520821
KUKPJIXJ,0.39086905
MHSJQ4JV,0.11154798
HNS3R3D5,0.120703645
NRPPMJWP,0.2144829
CFEXBQSJ,0.4726559
UUFE3JAX,0.4548573
CELABZOL,0.12167677
EGEBKGVH,0.111696035
OXWWZMVZ,0.13101332
WRPD2HMF,0.09854484
LKI8SIWO,0.5099933
E7SJU7FV,0.12520821
U3BH4IY4,0.13396332
CWFCD2XN,0.10870773
HFSJS8WA,0.11448409
8XMAYA7Z,0.11182445
TUFWHICI,0.1295745
4F4UVPIS,0.12576161
BMBMKLO5,0.18730064
L2DWAWQ8,0.5127925
3R3Q7LQU,0.9893854
4KDFRJTQ,0.976458
IAKCCEQE,0.12520821
PQFG7RVU,0.232696
SF3U5N9N,0.12520821
BSYAT4Q6,0.46261433
BVCDEFKW,0.50724465
WTF8P7V8,0.73141134
K47UMJDR,0.12944959
MB5EVGMF,0.43613538
TMB7UW6N,0.11988285
TVJPH4BN,0.4178378
MHVNW7PC,0.9893854
WSGMINXL,0.41801435
2NOO8MXG,0.1295745
XMHRUSX7,0.4487075
FGBY3BM3,0.104602054
CCVEYPDT,0.12474455
BTHUEGSL,0.12520821
WLY7WNSY,0.4487075
79ARKMPK,0.10801772
UDFHXSNF,0.16476752
8BFKOWDE,0.4606563
CHH2S35Z,0.7639712
CB5TGLCW,0.060267214
Z5KN8VUG,0.10870773
HHAY4EQP,0.1225803
BCG8TQNU,0.23432766
DYXCPZQY,0.12520821
2EGUR28K,0.12474455
2FB8VYNF,0.42162558
E7GADWU6,0.09069433
HLWMKRRA,0.46916687
XW6BJF7L,0.11374419
8M2YTHRZ,0.12167677
I98Z8HNE,0.16476752
YGZTMGB7,0.09854484
P2PWARDS,0.10222204
6HBRAE9M,0.6248041
MBXRFCTT,0.058388203
NMMPZMNA,0.048731983
6CHFWCCQ,0.10174141
KS4JBTL6,0.976458
KQK8S8CG,0.14732713
GE4VFAJH,0.4161091
WB2SVZPT,0.38742048
QHHZBBMU,0.12167677
MOSXMCCN,0.4439766
2LSC8W9Z,0.18730064
IMNXDL3Z,0.12474455
B9PYFTEG,0.42252967
XYBBBVVF,0.46916687
LKJUDPFW,0.11737106
YRNP87NE,0.46261433
8JGJ8TVA,0.08024474
BGGHCJ2P,0.4439766
